index	race	incar
35221	Black	NA
27289	Black	1
26290	Black	1
23260	Black	1
25266	Black	NA
25363	Black	NA
28384	Black	1
26943	Black	1
28985	Black	NA
31367	Black	1
34992	Black	1
27991	Black	1
23673	Black	1
30621	Black	1
23637	Black	1
24417	Black	1
29971	Black	1
26556	Black	1
35032	Black	1
31347	Black	1
31602	Black	NA
26152	Black	1
34828	Black	1
28767	Black	NA
23100	Black	1
27527	Black	1
28372	Black	1
31760	Black	NA
34986	Black	1
25547	Black	1
23715	Black	NA
30978	Black	1
29651	Black	1
23321	Black	1
23111	Black	1
24396	Black	NA
29342	Black	1
25254	Black	NA
24775	Black	1
23098	Black	NA
29430	Black	NA
23818	Black	1
34075	Black	1
34171	Black	NA
23578	Black	1
34363	Black	1
24276	Black	NA
23305	Black	NA
28848	Black	1
28306	Black	1
34385	Black	NA
34726	Black	1
25242	Black	NA
23407	Black	NA
28531	Black	1
33579	Black	NA
25027	Black	1
28426	Black	NA
35082	Black	1
24664	Black	NA
24412	Black	NA
24285	Black	1
28374	Black	NA
31114	Black	NA
25298	Black	NA
24489	Black	1
29876	Black	NA
28041	Black	NA
26112	Black	NA
26095	Black	NA
29477	Black	NA
28959	Black	NA
33422	Black	1
32016	Black	NA
31466	Black	NA
29083	Black	1
23105	Black	1
32046	Black	1
32184	Black	NA
27639	Black	1
33006	Black	NA
23912	Black	1
26915	Black	1
31569	Black	NA
34483	Black	1
34251	Black	NA
26652	Black	1
25943	Black	NA
25374	Black	1
34087	Black	NA
26318	Black	NA
30986	Black	NA
30546	Black	NA
30482	Black	1
33156	Black	NA
24112	Black	1
29622	Black	1
26574	Black	NA
25695	Black	1
31601	Black	1
31472	Black	NA
26072	Black	1
23436	Black	1
33718	Black	1
24993	Black	1
34496	Black	NA
23538	Black	1
24011	Black	1
33331	Black	NA
30885	Black	1
29513	Black	NA
30829	Black	NA
30541	Black	NA
30441	Black	NA
33493	Black	NA
29984	Black	1
34206	Black	NA
30384	Black	NA
32984	Black	NA
23892	Black	1
25905	Black	NA
33373	Black	NA
27309	Black	NA
25702	Black	1
23155	Black	1
28356	Black	NA
29462	Black	NA
27456	Black	1
24901	Black	NA
23308	Black	1
32293	Black	1
31857	Black	NA
34733	Black	NA
23516	Black	NA
30831	Black	NA
30522	Black	NA
29226	Black	1
23281	Black	1
23099	Black	1
25211	Black	NA
27518	Black	NA
24231	Black	1
23070	Black	NA
24301	Black	NA
27148	Black	NA
33911	Black	1
31518	Black	1
25907	Black	1
24639	Black	1
24250	Black	1
34248	Black	1
24260	Black	NA
32841	Black	1
32045	Black	NA
31859	Black	1
26679	Black	1
34172	Black	NA
24500	Black	1
32562	Black	NA
25922	Black	1
32193	Black	1
32686	Black	NA
29886	Black	NA
32805	Black	1
34431	Black	NA
25234	Black	1
32130	Black	NA
31217	Black	1
27176	Black	1
33592	Black	1
28919	Black	NA
30132	Black	1
27260	Black	NA
28784	Black	1
29059	Black	NA
34896	Black	1
28508	Black	1
32997	Black	NA
32910	Black	1
23378	Black	NA
27876	Black	1
32539	Black	1
30996	Black	NA
31771	Black	1
25797	Black	1
35178	Black	NA
31248	Black	1
24239	Black	NA
25884	Black	1
23459	Black	1
26616	Black	NA
24414	Black	NA
23891	Black	NA
34544	Black	1
25235	Black	NA
28340	Black	NA
33205	Black	NA
29989	Black	NA
32311	Black	NA
25250	Black	NA
31550	Black	NA
34585	Black	NA
30209	Black	NA
23985	Black	NA
23780	Black	1
23798	Black	1
26185	Black	NA
29918	Black	NA
26633	Black	NA
30344	Black	NA
23413	Black	1
32844	Black	1
29591	Black	1
29973	Black	NA
32978	Black	NA
30852	Black	NA
34747	Black	1
27699	Black	1
34632	Black	NA
28147	Black	1
32948	Black	NA
31048	Black	1
34220	Black	NA
24083	Black	NA
33823	Black	1
11063	White	NA
5809	White	NA
22956	White	1
16486	White	NA
11861	White	NA
11727	White	NA
21607	White	NA
16478	White	1
17757	White	NA
496	White	1
778	White	1
2666	White	NA
10352	White	1
15654	White	NA
8027	White	1
5342	White	NA
3497	White	1
20354	White	NA
9098	White	NA
9203	White	NA
5495	White	NA
8281	White	1
9844	White	NA
18190	White	NA
15117	White	NA
17158	White	1
8349	White	NA
22764	White	NA
19824	White	1
18471	White	NA
16265	White	NA
47	White	1
13221	White	1
3252	White	NA
5864	White	NA
12153	White	NA
14719	White	NA
7898	White	NA
22398	White	NA
15273	White	1
8149	White	NA
17801	White	NA
2125	White	1
5523	White	NA
3548	White	NA
1620	White	1
6342	White	NA
13451	White	1
6720	White	1
6071	White	NA
4526	White	NA
19524	White	1
2191	White	1
3167	White	NA
1131	White	1
4303	White	1
20144	White	NA
3404	White	NA
22749	White	NA
1979	White	1
20718	White	NA
11572	White	NA
3839	White	NA
4735	White	NA
1734	White	1
12472	White	1
15510	White	1
19762	White	NA
15620	White	NA
8013	White	NA
3685	White	NA
10562	White	1
2284	White	1
18037	White	1
8034	White	NA
12808	White	NA
7122	White	NA
17978	White	NA
316	White	NA
10459	White	NA
16437	White	NA
8552	White	NA
20375	White	NA
9006	White	1
3632	White	NA
21462	White	NA
17826	White	1
11218	White	1
19779	White	1
18185	White	NA
7055	White	1
18196	White	NA
13865	White	NA
14286	White	NA
22400	White	1
2845	White	1
22074	White	NA
22670	White	NA
10804	White	1
21667	White	1
20611	White	NA
7696	White	NA
4492	White	1
784	White	1
682	White	1
10742	White	1
6626	White	NA
12650	White	1
22735	White	1
7614	White	NA
13229	White	NA
17614	White	1
3105	White	NA
20205	White	NA
19675	White	NA
17309	White	1
1840	White	NA
2983	White	NA
7257	White	NA
5081	White	NA
1753	White	1
8001	White	1
11185	White	1
18878	White	1
8258	White	NA
20137	White	1
6393	White	NA
17319	White	NA
1791	White	NA
16146	White	1
17458	White	NA
6814	White	NA
21936	White	NA
